Soils;Bacterivores;Fungivores;Predators_and_omnivores;Plant_parasites;Antagonism
Rov_2;184;148;97;624;Low antagonism
Rov_3;305;458;99;603;Low antagonism
Rov_1;55;77;45;79;High antagonism
Stu_7;296;138;234;634;High antagonism
Stu_3;817;100;36;206;High antagonism
Stu_5;757;219;135;304;High antagonism
Stu_2;373;373;190;706;High antagonism
Stu_4;1232;382;62;148;High antagonism
Stu_1;162;331;318;481;High antagonism
Stu_6;172;229;146;362;High antagonism
Bat_2;57;58;16;65;Low antagonism
Bat_1;74;168;45;336;Low antagonism
Bat_3;203;182;91;132;Low antagonism
